raw_sentence,labels
"STANSTED , England 1996-08-27","['B-LOC', 'O', 'B-LOC', 'O']"
Dealers estimate that the shortfall will increase due to the inflow of funds before the end of the month .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
""" The Indians have awarded three cargoes , but the question is whether they will come out for more , "" he added .","['O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
STOCKS SINK AS BOND RATES JUMP ON STRONG DATA,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
LONDON 1996-12-07,"['B-LOC', 'O']"
"Plus there was the knock-on cost of lost production and extra security in future . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
He won elections in 1993 .,"['O', 'O', 'O', 'O', 'O', 'O']"
-- Hong Kong newsroom ( 852 ) 2843 6441,"['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
3. Theybers,"['O', 'B-PER']"
"That 's what we 're all aiming for . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ARIZONA 6 7 0 248 332,"['B-ORG', 'O', 'O', 'O', 'O', 'O']"
Bodo / Glimt 20 7 4 9 33 41 25,"['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
""" In 1970s , Poland received from unclaimed accounts in Switzerland a sum of 460,000 francs .","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
Pakistan first innings ( overnight 339-4 ),"['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
OB 43 6 62 .414 20,"['B-ORG', 'O', 'O', 'O', 'O', 'O']"
Wigan 4 Chester 2,"['B-ORG', 'O', 'B-ORG', 'O']"
""" I get the feeling that everything is done here for the American players and they forget about all the other players , "" said Stich , who lost the 1994 Open final to Andre Agassi .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'B-PER', 'I-PER', 'O']"
Result : Pakistan won by 46 runs .,"['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"12/15/2013 1,135M 5.30 5.35","['O', 'O', 'O', 'O']"
BOSTON 66 65 .504 9,"['B-ORG', 'O', 'O', 'O', 'O']"
"Six-month expenditures stood at 9.50 trillion lei , up from 7.56 trillion lei at end-May , with education and health spending accounting for 31.6 percent of state expenses and economic subsidies and support taking some 26 percent .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
LONDON 1996-08-23,"['B-LOC', 'O']"
Scottish division one,"['B-MISC', 'O', 'O']"
Amoco says in talks over Yemen oil acreage .,"['B-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
Drexel analyst Lucille Palermo recently upgraded recommendations on some Canadian gold stocks .,"['B-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O']"
Lens 3 3 0 0 6 1 9,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Aamir Sohail 2 3 1 77 46 38.50,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Dow Jones industrial average ended down 64.73 points at 5,647.65 , its largest drop since July 15 , when it closed with a loss of 161 points .","['O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The England cricket squad was announced on Sunday for the one-day international series against Pakistan starting on Thursday .,"['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
